index,answer1,answer2,condition,label
5249,Scenic Lake,Pier,The location of the transportation.,4
5250,Theme Park,Railway Yard,The type of location.,4
5251,Not provided,Several,The number of people.,3
5252,Mixed flowers,Red and white,The flower.,3
5253,Various colors,Red and white.,The color of flower.,3
5254,Trekking,On howdahs,The way of carry.,5
5255,Elephant procession.,Parade.,Elephants are walking.,3
5256,Christmas,Christmas,The holiday.,5
5257,Kitchen,Living Room,The indoor location.,1
5258,Skateboard,Skateboard,The item being used.,4
5259,Mid-air,Street,Where the skateboard is currently located.,2
5260,Zero,Unavailable.,The number of pet.,4
5261,Pet Name,No pet name mentioned.,The name of the pet.,3
5262,Y-junction,Close-up.,The type of way.,2
5263,Divided paths,Close-up,The type of view.,2
5264,Elephant,Elephant,The type of animal.,5
5265,Diverse interactions,Upright.,The body posture.,2
5266,Lunch.,Food,The name of the object.,4
5267,On a tray,Table,The place of the object.,3
5268,Horses,Horse.,The animal.,5
5269,2 horses,Horse,The number of animal.,1
5270,Surfing,Surfing,Type of recreational activity.,4
5271,Shallow,Unknown,Depth of water wher ethe man is.,4
5272,Baking,Kitchen layout,The cooking.,3
5273,two,Two people,The number of people.,1
5274,One.,One person,The number of people.,4
5275,Travel Wardrobe,Luggage and a purse.,The type of material.,2
5276,Television present,Watching TV,If television is present.,3
5277,Two,One person.,Number of people.,1
5278,Brick oven,Kitchen appliance,The oven.,4
5279,Pizza,Cookies.,The both are eating.,3
5280,Two children,Two children,The number of children.,5
5281,Close Distance,Close,The proximity of the children to each other.,5
5282,Oranges,Two oranges,The quantity of fruit.,4
5283,Oranges,Oranges.,The type of fruit.,3
5284,Two cats,Two animals.,The number of animal.,5
5285,Two cats,behind the dog,The cat.,2
5286,Foreground,On truck.,The cat in street.,3
5287,Yellow,rusty blue,The color of vehicle.,1
5288,Baseball play,Baseball play,The name of the things.,5
5289,One,Two people,The number of person.,4
5290,Blue,Illusion,The color of the water.,4
5291,Multiple,Unknown,The number of people.,2
5292,Standing,Mid-air,Height of man.,5
5293,Skateboarding,Skateboarding,Type of recreational activity.,5
5294,Inside vehicle,In-car dog,The dog inside a car.,5
5295,dog,White,The color of dog.,2
5296,Two people,Two people,The number of people.,5
5297,Two,One.,The number of men.,1
5298,Two items,One.,The number of food.,4
5299,Broccoli and pasta,Cheese Pizza,The food.,1
5300,Baseball,Baseball,Type of game.,4
5301,Mid-swing.,Hitting range,Proximity of ball to batter.,2
5302,Laptop.,Laptop,The type of computer used.,5
5303,Two hands.,Two hands.,The number of hands used.,4
5304,Living room,Living room,The name of the place.,4
5305,Furniture,Dog,The name of object.,2
5306,One female,Female,The gender.,5
5307,Two people.,One person.,The number of people.,4
5308,Kitchen,Kitchen,The room type.,4
5309,Man,Female,The person's gender.,1
5310,Two,Two.,The number of signal.,5
5311,Hybrid Signal,Regulatory signal,The type of signal.,5
5312,Giraffe,Giraffe,The type of animal.,5
5313,Six,2 giraffes,The number of animals.,1
5314,Two.,Two people.,The number of people.,5
5315,Baseball,Baseball,The sport.,5
5316,Surfing,Surfing,The activity being performed.,3
5317,Surfing.,Riding a wave.,What the surfer is doing at the moment.,1
5318,Surfing,Surfing.,The type of work.,5
5319,Surfing.,Surfing,The name of the game.,5
5320,Standing together,Standing,The action of the animal.,5
5321,Zebra,Zebra,The name of the animal.,2
5322,Street Intersection,Location:,The name of the place.,5
5323,Bicycle Crossing Sign,Stop sign,The name of the sign.,5
5324,Bedroom.,Small computer monitor,The bedroom.,5
5325,Bedroom.,Bedroom,The place.,3
5326,Chocolate cake and oranges.,Red cake with white frosting,The name of the things.,4
5327,Two objects,Two objects,The number of object.,1
5328,Bathroom,Master bathroom,The room type.,3
5329,Large,Medium-sized,The room's size.,2
5330,suitcase,Suitcase,The type of container.,4
5331,None.,Two cats,The number of animals.,1
5332,No electronics.,Electronic devices,Presence of electronics.,3
5333,Bathroom,A hotel room.,Location.,2
5334,Animal balloons.,Squid,The name of the animal.,2
5335,Event decoration,Kite-making,The type of work.,2
5336,Giraffe.,Giraffe,The type of animal.,5
5337,Three,Two giraffes,The number of animals.,3
5338,Workspace,Furnished room.,The space being occupied.,5
5339,Office furniture,Furnished room,The variety of objects in the room.,2
5340,Roadway sign,No parking,The type of sign.,3
5341,Truck,No vehicle.,The name of the vehicle.,2
5342,Grey and white,Brown,The color of animal.,2
5343,Tiger cat,Dog.,The animal.,1
5344,Food,Food items,The type of consumer goods involved.,4
5345,One dish.,Three,The amount of dishes.,3
5346,Static scene,No traffic.,The actions are equal.,4
5347,City Intersection,City Intersection,The name of the place.,1
5348,Female,Mixed,The gender of the people.,5
5349,Beach,Beach,The location of the surfboards.,1
5350,Intersection,Urban area,The type of location.,5
5351,One pedestrian.,Busy Street,The number of people.,1
5352,Unnamed,No name provided.,The name of the elephant.,5
5353,Elephant Safari,Mud,The name of the place.,4
5354,Furniture,Three pieces,The number of furniture.,4
5355,Bedroom,Bedroom,The indoor location.,4
5356,Surfing,Surfing.,The sport.,5
5357,Surfing,Surfing with stick,The physical motion.,2
5358,Raw meat,Dinner Platter,The type of meal.,5
5359,Meat on cutting board with meat fork,Meal Platter,The presentation of the meal.,4
5360,Two pairs,Cutting Tool,The scissors.,5
5361,Two pairs,One,The number of scissors.,1
5362,Many.,Two furnishing,The number of furnishings.,3
5363,TV,"Mirror, couch",The flat objects.,3
5364,Kitchen,White kitchen appliances.,The kitchen.,4
5365,Plywood,White,The color of object.,1
5366,Blue t-shirt,Athletic attire.,The playing costume.,4
5367,Tennis,Tennis,The name of sport.,3
5368,One.,One plate,The number of dish.,4
5369,Centerpiece,oranges,The dish.,4
5370,Harbor,Harbor,The name of the place.,5
5371,Sailboats,Waterfowl and boat,The name of the objects.,4
5372,Fast Food,Hot dog,The food type.,4
5373,One serving.,Two items,The quantity of food.,1
5374,Recreation,Social distancing,The type of work.,5
5375,Two people.,Two people,The number of people.,3
5376,Desk,Table,The type of furniture.,4
5377,Computer Peripheral,Device: Laptop,The name of the device.,4
5378,Bus,Double decker tour bus,Type of vehicle.,4
5379,Not specified.,On road.,Speed of the bus.,1
5380,One,1,The number of person.,5
5381,Feeding,Feeding.,The type of work.,4
5382,Beagle,Yellow Lab.,The name of the animal.,2
5383,Misunderstood,Beach,The name of the place.,2
5384,Black and Tan,Brown,The color of the animal.,4
5385,Dog.,Brown Dog,The name of the animal.,4
5386,Laptop,bat,The name of the object.,4
5387,Cat,Mammal,The type of the animal.,1
5388,Unable to determine.,"White, yellow, and red.",The color of train.,3
5389,Scenery,Two trains.,The train in track.,1
5390,Gravity,Wind,The force causing motion.,3
5391,Parasailer,Kite,The object blown.,2
5392,One computer.,2 computers,The amount of computers.,4
5393,Desktop.,Desktop and laptop,The computer.,3
5394,Plate with chicken.,Plate,The type of dinnerware.,5
5395,Vegetables and Protein,Assorted food,The type of food.,3
5396,Skateboarding,Skateboarding,The means of traversal.,5
5397,Balanced,Crouched,The person's posture.,3
5398,Dog,Dog,Type of animal.,4
5399,Two,One dog.,Number of animals.,1
5400,Baseball,Baseball,The sport that is being played.,5
5401,Players,Spectating,The position of the people at the game.,3
5402,Vase,Vase,The object.,3
5403,Multicolored,"Purple, blue, and white",The color of object.,1
5404,Bilingual All-way Stop,Multiple stop signs,The amounts of stop signs.,4
5405,Multilingual instruction,Visual Instruction,The type of instructional method.,1
5406,Two devices.,Two,The amount of computers.,4
5407,Desk,Desk,The type of furniture.,4
5408,"Laptop, phone, flat screen TV",Laptop,Electronic items in living room.,3
5409,Two,Two,The number of person.,3
5410,Laptop.,Laptop,The type of device.,5
5411,Black,Not specified,The color of device.,2
5412,Two-level seating area.,Cozy Living Room,The type of relax.,3
5413,Design Feature,Living room,The name of the place.,1
5414,1,Two,The number of elephant.,4
5415,Elephant,Elephant,The name of the animal.,3
5416,Hotdog bug,Hot Dog,The name of the dish.,4
5417,Green and white,Red.,The color of the sauce.,1
5418,Unnamed,Woman,The name of the person.,4
5419,Three individuals,Four people.,The number of person.,1
5420,Bathroom,Bathroom,Type of room.,5
5421,Industrial Raw,Natural Tranquility,Aesthetic of decor.,3
5422,Bed,Bed,The main piece of furniture.,5
5423,Bedroom,Various furniture,The variety of furniture in the room.,1
5424,TV,Television,The name of the device.,2
5425,1,One,The number of person.,1
5426,Standing on hind legs,Observing,The action of the animal.,5
5427,Dog,Cat,The type of the animal.,1
5428,Tray,Meal Combo,The name of the object.,4
5429,Unspecified,Dog,The name of the animal.,2
5430,Furniture and appliances,Red,The color of object.,3
5431,Five objects.,4 furniture pieces,The number of object.,1
5432,Two people.,Two people.,The number of people.,4
5433,Frisbee,Frisbee game,The game being played.,3
5434,Four people,Two riders,The number of person.,3
5435,Zero,1 dog,The number of animal.,3
5436,Swinging and catching.,Swinging,The motion.,5
5437,Baseball,Baseball,The sport.,3
5438,Baseball,Baseball,The name of game.,5
5439,Baseball game.,Baseball Kit,The name of the kits.,4
5440,Cow,Cow,The animal.,5
5441,Brown,Light-colored,The color of animal.,2
5442,Not applicable - The sentence provided does not mention anyone playing a game.,Riding horse on beach,The person playing game.,3
5443,Surfing,Beach riding.,The type of game.,1
5444,Street,City,The place of vehicle.,5
5445,Garbage truck,Car,The vehicle.,3
5446,Plate,Bowl,Container for food.,4
5447,Fruit.,Fruit,Category of food.,2
5448,Undefined,Blue,The color of the hat.,5
5449,Items for baseball,Ball,The name of the object.,4
5450,Clock,Clock Tower,Presence of clock.,5
5451,Green plants.,Greenery,Presence of plants.,3
5452,Outdoors,Outdoors,The park.,3
5453,One person,Two people.,The number of people.,1
5454,Tony & Sam's,John,The name of the person.,1
5455,Tony & Sam's,John's Market,The name of the place.,1
5456,Modern,Modern eclectic,The decor type.,4
5457,Living room,Bedroom,The room type.,2
5458,Workstation,Study desk,The name of the place.,5
5459,Trackball,Dark room setup,The name of the object.,4
5460,Blue,Not specified.,The color of the plate.,4
5461,Blue tableware,Table setting,The name of the object.,4
5462,Multiple,Not specified.,The number of the player.,2
5463,Baseball,Baseball,The name of the game.,2
5464,Car,Black car,The name of the vehicle.,5
5465,City,City Street,The name of the place.,4
5466,Kitchen,Kitchen,The type of room.,3
5467,Nook,Couch,The type of seating.,1
5468,Sandwich and iced tea,Beef Sandwich,The type of food being eaten.,5
5469,Two items.,One.,The amount of items to ingest.,1
5470,Cat,Cat,The type of animal.,5
5471,Sitting,Watching TV.,What the animal is doing.,2
5472,Bathroom,Bathroom,The type of room.,3
5473,Cat,Dog,The type of animal.,1
5474,Masculine,Male.,Gender of person with coconuts.,5
5475,Coconut skin removal.,Slicing.,How coconuts are being prepped.,2
5476,Outdoors,City,The place.,5
5477,Multiple,One person.,The number of people.,4
5478,Baseball,Baseball,Type of game.,5
5479,Moderate,Quick,Speed of the official's movement.,4
5480,Climbing site.,Rocky terrain.,The type of location.,2
5481,One person.,Three,The number of people.,1
5482,Ocean,Beach,Location.,4
5483,Parasurfer,Surfboard,Type of surfing vehicle.,2
5484,Dogs,Dog,The animal.,5
5485,Black and brown,Brown,The color.,3
5486,Surfing,Surfing on a wave.,The person's stance.,3
5487,Surfing,Surfing,The person's hobby.,3
5488,Two players,Two,The number of player.,3
5489,Baseball,Softball,The name of sport.,1
5490,Aerial stunt,Bicycle Trick,The type of stunt.,5
5491,Bike,Bicycle,The vehicle.,2
5492,One,1,The number of persons.,5
5493,Blue.,Orange.,The color of the outfits.,1
5494,Skateboarding,Skateboarding,The type of sport.,4
5495,Two people,One person.,The number of people.,3
5496,Two.,Two,The number of wheels.,5
5497,Wet.,Muddy,The state of the terrain traversed.,4
5498,Skateboard.,Skateboard,The means of traversal.,4
5499,Skate park with beach/ocean.,Outdoor skateboarding,The setting.,3
5500,1 dog,Two dogs,The number of animals.,4
5501,Dog,Dog,The type of animal.,3
5502,Small,small,The size of the dog.,2
5503,White,White,The color of the dog.,1
5504,Forest.,Forest.,The place.,5
5505,Bike jump,Dangerous dirt bike cliff riding,The stunt.,1
5506,Dog,Dog,The animal.,4
5507,Run,Fast,The speed of the dogs.,1
5508,Soccer,Soccer,The sport played.,5
5509,Blue & White,Blue and gray,The color of the ball.,5
5510,2 players,22 players,The number of players.,4
5511,Ball possession.,Ball control,The object competed over.,4
5512,Extreme sports.,Skateboarding,Type of recreational activity.,5
5513,Two,One.,Number of people.,1
5514,Bike,Bike,The type of the vehicle.,5
5515,Dirt Brown,"Blue, orange, and white",The color of the outfit.,2
5516,White,No color mentioned,Color of the dog.,3
5517,Suspended in midair,Tennis balls falling,The activity of the ball.,3
5518,Little,Child,The size of the girl.,3
5519,Holding handles.,Sliding.,What the little girl is doing.,1
5520,Snow,Snow.,The cold temperature.,3
5521,White with black markings,Black,The color of the dog.,1
5522,Football,Football,The type of sport.,4
5523,Blitz,Holding football,The action being carried out.,2
5524,Fishing,Fishing,The person's hobby.,5
5525,Fishing,Seated,The person's stance.,4
5526,Bowl,Skateboard,The type of riding object.,4
5527,Skate park,Urban,The nature of the place.,2
5528,Surfing,Surfing,The sport being played.,5
5529,Two people,Two,The number of people.,5
5530,Rugby,Soccer,The type of sport.,4
5531,Red and black,Black and white,The color of the uniform.,3
5532,Two,Two dogs,The number of dogs.,5
5533,Grass,Beach,The surface the dogs are on.,2
5534,Ski Jumping,Skiing.,The sport.,4
5535,Three people,One person.,The number of people.,2
5536,One child,Two,The number of children.,1
5537,Fountain,Outdoors,The location of the play actions.,1
5538,Slow,Fast,The speed of the animal.,3
5539,Cow,Bull,The type of the animal.,1
5540,Several people.,1,The number of people.,5
5541,Tennis,Tennis,The type of sport.,4
5542,Three dogs.,Three,The number of dogs.,5
5543,Size Hierarchy,Tugging,The intensity of the dogs.,4
5544,One person.,One person.,The number of persons.,4
5545,Playful,Immersion,The nature of water bath.,1
5546,Three,Three,The number of riders.,4
5547,Power Ramp #2,Woods,The location of the riders.,4
5548,Two dogs,Two,The number of dogs.,5
5549,Black and White & Tan,Brown,The color of the dogs.,1
5550,Two,Two,Number of the animals.,5
5551,Playing,Running,Action of the animals.,3
5552,Two,Two,The number of wheels.,4
5553,Near trees,Shaded,The nearness to trees.,3
